http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uintern.py:164(propFullLength)
      160    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/ucollect.py:91(__getitem__)
       24    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uintern.py:168(propFullWidth)
        2    0.000    0.000    2.208    1.104 /home/pdf/workspace/OLPC/uplant.py:534(draw)
      102    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/utravers.py:183(createWithPlant)
       38    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:510(draw)
        8    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:296(shouldDraw)
        8    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:354(drawBracts)
       24    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uintern.py:289(setColorsToParameters)
       52    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/upart.py:211(setColorsToParameters)
        1    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/gtk_helpers.py:56(InvalidateWidget)
        2    0.000    0.000    0.004    0.002 /home/pdf/workspace/OLPC/udrawingsurface.py:42(initialize)
        2    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:181(initializeAsUnitMatrix)
        2    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:161(xyz)
        2    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:178(setScale_pixelsPerMm)
        0    0.000             0.000          profile:0(profiler)


<pstats.Stats instance at 0xf7b224ac>
>>>
>>> s = stats.load("hotshot_stats")
>>> s.sort_stats("time").print_stats()
         3509819 function calls (3509781 primitive calls) in 15.108 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48878    1.448    0.000    4.199    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:208(basicDrawTriangle)
    48878    1.300    0.000    1.882    0.000 /home/pdf/workspace/OLPC/gtkdrawingsurface.py:15(drawingContextDrawTriangle)
   716385    1.208    0.000    1.208    0.000 /home/pdf/workspace/OLPC/conversion_common.py:78(intround)
    78142    0.705    0.000    0.705    0.000 copy.py:134(_copy_inst)
   116087    0.702    0.000    0.702    0.000 /home/pdf/workspace/OLPC/gtk_helpers.py:154(delphi_to_gdk_color)
    48878    0.555    0.000    0.697    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:410(__init__)
     7699    0.467    0.000    8.725    0.001 /home/pdf/workspace/OLPC/utdo.py:243(draw)
    48878    0.325    0.000    4.933    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:182(drawLastTriangle)
    59811    0.313    0.000    1.651    0.000 /home/pdf/workspace/OLPC/uturtle.py:350(transformAndRecord)
    18331    0.307    0.000    0.427    0.000 /home/pdf/workspace/OLPC/gtkdrawingsurface.py:7(drawingContextDrawSolidLine)
     5499    0.297    0.000    2.141    0.000 /home/pdf/workspace/OLPC/upart.py:252(drawStemSegment)
    48878    0.289    0.000    6.077    0.000 /home/pdf/workspace/OLPC/uturtle.py:424(drawTriangleFromIndexes)
    42099    0.285    0.000    0.359    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:294(rotateZ)
     1139    0.280    0.000   14.667    0.013 /home/pdf/workspace/OLPC/utravers.py:204(traversePlant)
    59811    0.267    0.000    0.267    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:235(transform)
    36845    0.248    0.000    0.320    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:268(rotateY)
    53581    0.227    0.000    0.227    0.000 /home/pdf/workspace/OLPC/upart.py:377(angleWithSway)
    59811    0.225    0.000    0.435    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:139(KfPoint3D_addPointToBoundsRect)
    31884    0.222    0.000    0.289    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:244(rotateX)
    43647    0.200    0.000    0.221    0.000 /home/pdf/workspace/OLPC/upart.py:85(traverseActivity)
    78142    0.181    0.000    0.886    0.000 copy.py:75(copy)
    59811    0.177    0.000    0.303    0.000 /home/pdf/workspace/OLPC/uturtle.py:344(recordPositionPoint)
    48878    0.175    0.000    0.175    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:429(computeBackFacing)
    78142    0.166    0.000    0.166    0.000 /home/pdf/workspace/OLPC/uturtle.py:466(addToRealBoundsRect)
      942    0.162    0.000    0.556    0.001 /home/pdf/workspace/OLPC/ufruit.py:347(drawPistilsAndStamens)
    48878    0.158    0.000    0.855    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:90(allocateTriangle)
   195962    0.154    0.000    0.154    0.000 /home/pdf/workspace/OLPC/delphi_compatability.py:31(__init__)
    18331    0.150    0.000    1.221    0.000 /home/pdf/workspace/OLPC/uturtle.py:412(drawInMillimeters)
     7699    0.149    0.000    9.268    0.001 /home/pdf/workspace/OLPC/upart.py:239(draw3DObject)
    11464    0.144    0.000    5.444    0.000 /home/pdf/workspace/OLPC/uintern.py:173(traverseActivity)
   146634    0.142    0.000    0.142    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:105(__init__)
    18331    0.139    0.000    0.712    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:158(basicDrawLineFromTo)
       63    0.137    0.002    0.137    0.002 /home/pdf/workspace/OLPC/udrawingsurface.py:56(clearTriangles)
    48878    0.126    0.000    0.409    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:425(updateGeometry)
      942    0.124    0.000    4.215    0.004 /home/pdf/workspace/OLPC/ufruit.py:328(drawFlower)
    37039    0.122    0.000    0.122    0.000 /home/pdf/workspace/OLPC/upart.py:559(realDxfIndexForBaseDXFPart)
    26575    0.108    0.000    0.108    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:211(copyTo)
    48878    0.108    0.000    0.108    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:439(computeZ)
    13198    0.106    0.000    0.106    0.000 /home/pdf/workspace/OLPC/upart.py:414(setColorsWithAmendmentAndReturnTrueIfNoOverrides)
    59811    0.098    0.000    0.098    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:121(KfPoint3D_scaleBy)
    11436    0.092    0.000    4.022    0.000 /home/pdf/workspace/OLPC/ufruit.py:518(drawCircleOfTdos)
    26575    0.090    0.000    0.199    0.000 /home/pdf/workspace/OLPC/uturtle.py:477(push)
    11909    0.089    0.000    0.174    0.000 /home/pdf/workspace/OLPC/uleaf.py:67(traverseActivity)
